id,c000,ca01,ca02,ca03,ce01,ce02,ce03,cns01,cns02,cns03,cns04,cns05,cns06,cns07,cns08,cns09,cns10,cns11,cns12,cns13,cns14,cns15,cns16,cns17,cns18,cns19,cns20,cr01,cr02,cr03,cr04,cr05,cr07,ct01,ct02,cd01,cd02,cd03,cd04,cg01,cg02,longitude,latitude,sum_workers
060816127001010,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,-122.18011567954439,37.443084335798275,8
060014366022001,3,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,3,0,0,0,1,2,1,2,-122.08652446393701,37.65645850475051,24
060133720005009,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,-122.34645115232018,37.944750254373524,8
060816125001004,19,3,8,8,6,8,5,0,0,0,0,0,0,7,0,0,0,0,2,0,1,0,1,0,8,0,0,8,0,0,11,0,0,17,2,4,1,7,4,12,7,-122.18176486093972,37.45578141079862,149
060014093002015,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,-122.1691349850226,37.73689425634008,8
060133031061031,69,17,33,19,13,33,23,58,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,52,2,0,9,3,3,41,28,12,11,17,12,36,33,-121.66742760739602,37.90770842901628,535
060816102012002,13,8,3,2,9,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,9,2,0,2,0,0,6,7,1,1,3,0,7,6,-122.21142774751809,37.48258468646367,96
060816134002007,83,14,35,34,12,18,53,2,0,0,13,0,0,1,0,0,0,5,9,0,0,0,17,5,0,31,0,74,3,0,5,0,1,49,34,19,15,14,21,35,48,-122.2761337909476,37.43955064873648,650
060133080011014,8,0,5,3,2,4,2,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,8,0,2,3,0,3,2,6,-121.8082624811811,37.994743674967545,64
060014515034005,7,1,3,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,2,0,4,0,0,6,1,1,3,0,2,2,5,-121.75670137883161,37.681920530951636,55
060014237002012,4,0,3,1,0,2,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,3,1,1,1,1,2,2,-122.24947678710159,37.859389913266284,32
060816066003003,6,0,6,0,2,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,2,0,0,4,0,0,6,0,1,1,1,3,3,3,-122.32110694704858,37.55260039148297,48
060014507461000,130,20,80,30,48,24,58,0,0,0,0,0,0,0,0,0,0,2,0,0,0,81,47,0,0,0,0,96,5,0,23,2,4,87,43,18,17,39,36,53,77,-121.87644836758223,37.68395423689351,1020
060816019011005,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,-122.43600698120491,37.669410780823696,8
060816086002006,142,37,78,27,26,29,87,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,81,3,1,51,1,5,99,43,9,20,42,34,118,24,-122.26934419075451,37.527469314097104,1099
060750476001006,121,38,56,27,24,45,52,0,0,0,1,0,0,54,0,0,19,3,0,0,0,0,3,0,41,0,0,72,5,4,35,2,3,89,32,12,31,17,23,72,49,-122.4777693994759,37.78041524355442,930
060816011005001,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,-122.4926516203212,37.69743237297132,8
060816127002007,50,16,32,2,0,4,46,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,1,0,29,1,0,18,0,2,47,3,3,4,9,18,31,19,-122.19751005326547,37.44109742712767,384
060816117002027,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,-122.16093334510244,37.475427224388824,8
